"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"1","Alpha",2015-07-02,"st11U",9.43e-07,2.36e-07,4.7e-07,9.37e-07,1.43e-06,183
"2","Alpha",2015-07-03,"st11U",7.87e-07,1.97e-07,4.08e-07,7.69e-07,1.16e-06,184
"3","Alpha",2015-07-04,"st11U",9.98e-07,2.5e-07,5.36e-07,1e-06,1.5e-06,185
"4","Alpha",2015-07-05,"st11U",1.37e-06,3.43e-07,6.98e-07,1.36e-06,2.02e-06,186
"5","Alpha",2015-07-06,"st11U",1.04e-06,2.59e-07,5.39e-07,1.04e-06,1.52e-06,187
"6","Alpha",2015-07-07,"st11U",1.28e-06,3.19e-07,6.08e-07,1.27e-06,1.94e-06,188
"7","Alpha",2015-07-08,"st11U",1.38e-06,3.45e-07,7.9e-07,1.38e-06,2.1e-06,189
"8","Alpha",2015-07-09,"st11U",1.59e-06,3.97e-07,8.21e-07,1.55e-06,2.27e-06,190
"9","Alpha",2015-07-10,"st11U",1.32e-06,3.3e-07,6.64e-07,1.3e-06,1.91e-06,191
"10","Alpha",2015-07-11,"st11U",1.25e-06,3.11e-07,6.49e-07,1.23e-06,1.88e-06,192
"11","Alpha",2015-07-12,"st11U",1.24e-06,3.1e-07,6.48e-07,1.23e-06,1.81e-06,193
"12","Alpha",2015-07-14,"st11U",1.76e-06,4.4e-07,9.29e-07,1.79e-06,2.63e-06,195
"13","Alpha",2015-07-15,"st11U",1.39e-06,3.47e-07,7.03e-07,1.39e-06,2.03e-06,196
"14","Alpha",2015-07-16,"st11U",1.4e-06,3.51e-07,7.65e-07,1.44e-06,2.11e-06,197
"15","Alpha",2015-07-17,"st11U",1.59e-06,3.98e-07,8.6e-07,1.63e-06,2.4e-06,198
"16","Alpha",2015-07-18,"st11U",1.17e-06,2.92e-07,6.25e-07,1.18e-06,1.74e-06,199
"17","Alpha",2015-07-19,"st11U",1.44e-06,3.59e-07,7.38e-07,1.42e-06,2.17e-06,200
"18","Alpha",2015-07-20,"st11U",1.71e-06,4.27e-07,8.39e-07,1.67e-06,2.44e-06,201
"19","Alpha",2015-07-21,"st11U",1.54e-06,3.85e-07,8.2e-07,1.55e-06,2.23e-06,202
"20","Alpha",2015-07-22,"st11U",1.75e-06,4.37e-07,8.77e-07,1.73e-06,2.65e-06,203
"21","Alpha",2015-07-23,"st11U",1.48e-06,3.69e-07,7.73e-07,1.5e-06,2.25e-06,204
"22","Alpha",2015-07-24,"st11U",2.11e-06,5.28e-07,1.15e-06,2.19e-06,3.23e-06,205
"23","Alpha",2015-07-25,"st11U",2.08e-06,5.2e-07,1.16e-06,2.07e-06,3.14e-06,206
"24","Alpha",2015-07-27,"st11U",2.84e-06,7.1e-07,1.5e-06,2.77e-06,4.14e-06,208
"25","Alpha",2015-07-28,"st11U",2.18e-06,5.45e-07,1.16e-06,2.18e-06,3.29e-06,209
"26","Alpha",2015-07-29,"st11U",3.1e-06,7.76e-07,1.69e-06,3.09e-06,4.71e-06,210
"27","Alpha",2015-07-30,"st11U",2.72e-06,6.81e-07,1.45e-06,2.63e-06,3.97e-06,211
"28","Alpha",2015-07-31,"st11U",2.42e-06,6.05e-07,1.33e-06,2.44e-06,3.58e-06,212
"29","Alpha",2015-08-01,"st11U",2.04e-06,5.1e-07,1.03e-06,2e-06,3e-06,213
"30","Alpha",2015-08-02,"st11U",2.28e-06,5.7e-07,1.25e-06,2.28e-06,3.37e-06,214
"31","Alpha",2015-08-03,"st11U",2.78e-06,6.96e-07,1.46e-06,2.87e-06,4.25e-06,215
"32","Alpha",2015-08-04,"st11U",2.67e-06,6.69e-07,1.42e-06,2.68e-06,3.89e-06,216
"33","Alpha",2015-08-05,"st11U",2.6e-06,6.49e-07,1.33e-06,2.55e-06,3.77e-06,217
"34","Alpha",2015-08-06,"st11U",4.24e-06,1.06e-06,2.28e-06,4.2e-06,6.12e-06,218
"35","Alpha",2015-08-07,"st11U",2.51e-06,6.26e-07,1.35e-06,2.51e-06,3.74e-06,219
"36","Alpha",2015-08-08,"st11U",2.69e-06,6.74e-07,1.54e-06,2.71e-06,4.03e-06,220
"37","Alpha",2015-08-09,"st11U",1.83e-06,4.58e-07,1e-06,1.82e-06,2.63e-06,221
"38","Alpha",2016-07-01,"st11U",1.02e-06,2.55e-07,5.37e-07,1.02e-06,1.49e-06,183
"39","Alpha",2016-07-02,"st11U",1.09e-06,2.72e-07,5.86e-07,1.07e-06,1.62e-06,184
"40","Alpha",2016-07-03,"st11U",1.61e-06,4.01e-07,8.7e-07,1.6e-06,2.36e-06,185
"41","Alpha",2016-07-04,"st11U",1.12e-06,2.8e-07,6.01e-07,1.14e-06,1.63e-06,186
"42","Alpha",2016-07-05,"st11U",1.42e-06,3.54e-07,7.65e-07,1.43e-06,2.07e-06,187
"43","Alpha",2016-07-06,"st11U",2.75e-06,6.87e-07,1.47e-06,2.68e-06,4.1e-06,188
"44","Alpha",2016-07-07,"st11U",1.36e-06,3.4e-07,7.53e-07,1.34e-06,1.98e-06,189
"45","Alpha",2016-07-08,"st11U",2.56e-06,6.4e-07,1.31e-06,2.56e-06,3.85e-06,190
"46","Alpha",2016-07-09,"st11U",1.89e-06,4.72e-07,1.08e-06,1.86e-06,2.82e-06,191
"47","Alpha",2016-07-10,"st11U",1.59e-06,3.97e-07,8.19e-07,1.57e-06,2.37e-06,192
"48","Alpha",2016-07-11,"st11U",1.85e-06,4.64e-07,1.03e-06,1.89e-06,2.77e-06,193
"49","Alpha",2016-07-12,"st11U",1.88e-06,4.69e-07,1.02e-06,1.86e-06,2.78e-06,194
"50","Alpha",2016-07-13,"st11U",2.22e-06,5.55e-07,1.15e-06,2.22e-06,3.31e-06,195
"51","Alpha",2016-07-14,"st11U",1.95e-06,4.88e-07,9.52e-07,1.98e-06,2.93e-06,196
"52","Alpha",2016-07-15,"st11U",2.28e-06,5.71e-07,1.23e-06,2.31e-06,3.41e-06,197
"53","Alpha",2016-07-16,"st11U",2.26e-06,5.65e-07,1.18e-06,2.25e-06,3.41e-06,198
"54","Alpha",2016-07-17,"st11U",2.72e-06,6.81e-07,1.48e-06,2.77e-06,4.04e-06,199
"55","Alpha",2016-07-18,"st11U",2.91e-06,7.27e-07,1.43e-06,2.85e-06,4.36e-06,200
"56","Alpha",2016-07-19,"st11U",2.77e-06,6.92e-07,1.62e-06,2.83e-06,4.07e-06,201
"57","Alpha",2016-07-20,"st11U",3.18e-06,7.94e-07,1.79e-06,3.26e-06,4.71e-06,202
"58","Alpha",2016-07-21,"st11U",3.16e-06,7.9e-07,1.65e-06,3.1e-06,4.61e-06,203
"59","Alpha",2016-07-22,"st11U",3.79e-06,9.47e-07,2.12e-06,3.84e-06,5.58e-06,204
"60","Alpha",2016-07-23,"st11U",3.43e-06,8.57e-07,1.93e-06,3.48e-06,5.1e-06,205
"61","Alpha",2016-07-24,"st11U",3.2e-06,8.01e-07,1.76e-06,3.22e-06,4.84e-06,206
"62","Alpha",2016-07-25,"st11U",3.42e-06,8.56e-07,1.9e-06,3.45e-06,5.08e-06,207
"63","Alpha",2016-07-26,"st11U",2.79e-06,6.99e-07,1.5e-06,2.77e-06,4.14e-06,208
"64","Alpha",2016-07-27,"st11U",3.14e-06,7.86e-07,1.72e-06,3.06e-06,4.66e-06,209
"65","Alpha",2016-07-28,"st11U",3.69e-06,9.22e-07,2.11e-06,3.67e-06,5.31e-06,210
"66","Alpha",2016-07-29,"st11U",4.86e-06,1.22e-06,2.33e-06,4.79e-06,7.22e-06,211
"67","Alpha",2016-07-30,"st11U",4.8e-06,1.2e-06,2.61e-06,4.83e-06,7.24e-06,212
"68","Alpha",2016-07-31,"st11U",3.83e-06,9.57e-07,2e-06,3.83e-06,5.69e-06,213
"69","Alpha",2017-07-02,"st11U",2.75e-06,6.88e-07,1.49e-06,2.78e-06,4.13e-06,183
"70","Alpha",2017-07-03,"st11U",2.51e-06,6.29e-07,1.35e-06,2.46e-06,3.68e-06,184
"71","Alpha",2017-07-04,"st11U",1.97e-06,4.93e-07,1.05e-06,2e-06,2.94e-06,185
"72","Alpha",2017-07-05,"st11U",2.58e-06,6.45e-07,1.15e-06,2.53e-06,3.82e-06,186
"73","Alpha",2017-07-06,"st11U",1.48e-06,3.69e-07,7.22e-07,1.44e-06,2.19e-06,187
"74","Alpha",2017-07-07,"st11U",3.27e-06,8.17e-07,1.74e-06,3.28e-06,4.89e-06,188
"75","Alpha",2017-07-08,"st11U",5.05e-06,1.26e-06,2.77e-06,5.02e-06,7.55e-06,189
"76","Alpha",2017-07-11,"st11U",1.49e-06,3.72e-07,6.81e-07,1.42e-06,2.21e-06,192
"77","Alpha",2017-07-12,"st11U",1.94e-06,4.84e-07,1.02e-06,1.98e-06,2.98e-06,193
"78","Alpha",2017-07-13,"st11U",2.03e-06,5.07e-07,9.77e-07,2.04e-06,3.07e-06,194
"79","Alpha",2017-07-16,"st11U",1.47e-06,3.67e-07,7.63e-07,1.51e-06,2.2e-06,197
"80","Alpha",2017-07-17,"st11U",1.3e-06,3.25e-07,6.92e-07,1.32e-06,2e-06,198
"81","Alpha",2017-07-21,"st11U",1.55e-06,3.89e-07,8.01e-07,1.55e-06,2.38e-06,202
"82","Alpha",2017-07-22,"st11U",2.04e-06,5.11e-07,1.02e-06,2e-06,2.92e-06,203
"83","Alpha",2017-07-23,"st11U",1.58e-06,3.95e-07,7.91e-07,1.58e-06,2.4e-06,204
"84","Alpha",2017-07-24,"st11U",2.28e-06,5.71e-07,1.17e-06,2.23e-06,3.31e-06,205
"85","Alpha",2017-07-25,"st11U",2.15e-06,5.37e-07,1.22e-06,2.15e-06,3.2e-06,206
"86","Alpha",2017-07-26,"st11U",1.72e-06,4.3e-07,8.62e-07,1.76e-06,2.59e-06,207
"87","Alpha",2017-07-27,"st11U",1.75e-06,4.36e-07,8.27e-07,1.69e-06,2.55e-06,208
"88","Alpha",2017-07-28,"st11U",2.1e-06,5.24e-07,1.06e-06,2.07e-06,3.1e-06,209
"89","Alpha",2017-07-29,"st11U",2.91e-06,7.29e-07,1.56e-06,2.91e-06,4.32e-06,210
"90","Alpha",2017-07-30,"st11U",2.32e-06,5.81e-07,1.31e-06,2.37e-06,3.54e-06,211
"91","Alpha",2017-07-31,"st11U",2.31e-06,5.77e-07,1.22e-06,2.29e-06,3.41e-06,212
"92","Alpha",2017-08-01,"st11U",4.61e-06,1.15e-06,2.26e-06,4.56e-06,7e-06,213
"93","Alpha",2017-08-02,"st11U",4.61e-06,1.15e-06,2.66e-06,4.7e-06,7.01e-06,214
"94","Alpha",2017-08-03,"st11U",4.3e-06,1.08e-06,2.23e-06,4.26e-06,6.37e-06,215
"95","Alpha",2017-08-04,"st11U",5.72e-06,1.43e-06,3.05e-06,5.6e-06,8.34e-06,216
"96","Alpha",2017-08-05,"st11U",4.74e-06,1.19e-06,2.84e-06,4.75e-06,6.99e-06,217
"97","Alpha",2017-08-06,"st11U",4.39e-06,1.1e-06,2.65e-06,4.4e-06,6.34e-06,218
"98","Alpha",2017-08-07,"st11U",3.47e-06,8.69e-07,1.82e-06,3.47e-06,5.16e-06,219
"99","Alpha",2017-08-09,"st11U",3.81e-06,9.52e-07,2.26e-06,3.88e-06,5.76e-06,221
"100","Alpha",2015-07-02,"st18",3.23e-07,8.07e-08,1.59e-07,3.31e-07,4.84e-07,183
"101","Alpha",2015-07-03,"st18",2.99e-07,7.47e-08,1.6e-07,3.01e-07,4.5e-07,184
"102","Alpha",2015-07-04,"st18",3.7e-07,9.24e-08,1.9e-07,3.64e-07,5.56e-07,185
"103","Alpha",2015-07-05,"st18",4.8e-07,1.2e-07,2.8e-07,4.97e-07,7.1e-07,186
"104","Alpha",2015-07-06,"st18",4.04e-07,1.01e-07,2.22e-07,4.02e-07,5.92e-07,187
"105","Alpha",2015-07-07,"st18",4.12e-07,1.03e-07,2.14e-07,4.09e-07,6.06e-07,188
"106","Alpha",2015-07-08,"st18",4.42e-07,1.1e-07,2.42e-07,4.54e-07,6.7e-07,189
"107","Alpha",2015-07-09,"st18",2.79e-07,6.97e-08,1.35e-07,2.74e-07,4.14e-07,190
"108","Alpha",2015-07-10,"st18",4.32e-07,1.08e-07,2.01e-07,4.27e-07,6.32e-07,191
"109","Alpha",2015-07-11,"st18",5.36e-07,1.34e-07,2.78e-07,5.31e-07,7.93e-07,192
"110","Alpha",2015-07-12,"st18",5.27e-07,1.32e-07,2.79e-07,5.38e-07,7.94e-07,193
"111","Alpha",2015-07-13,"st18",6.46e-07,1.61e-07,3.23e-07,6.4e-07,9.46e-07,194
"112","Alpha",2015-07-14,"st18",8.04e-07,2.01e-07,3.91e-07,8.05e-07,1.23e-06,195
"113","Alpha",2015-07-15,"st18",6.11e-07,1.53e-07,3e-07,6.04e-07,9.15e-07,196
"114","Alpha",2015-07-16,"st18",6.72e-07,1.68e-07,3.63e-07,6.96e-07,9.99e-07,197
"115","Alpha",2015-07-17,"st18",6.47e-07,1.62e-07,3.54e-07,6.5e-07,9.8e-07,198
"116","Alpha",2015-07-18,"st18",7e-07,1.75e-07,3.73e-07,7.12e-07,1.05e-06,199
"117","Alpha",2015-07-19,"st18",7.38e-07,1.84e-07,3.43e-07,7.44e-07,1.07e-06,200
"118","Alpha",2015-07-20,"st18",7e-07,1.75e-07,3.58e-07,7e-07,1.03e-06,201
"119","Alpha",2015-07-21,"st18",5.69e-07,1.42e-07,2.89e-07,5.69e-07,8.55e-07,202
"120","Alpha",2015-07-22,"st18",7.34e-07,1.84e-07,4.01e-07,7.69e-07,1.13e-06,203
"121","Alpha",2015-07-23,"st18",7.14e-07,1.78e-07,3.93e-07,7.29e-07,1.11e-06,204
"122","Alpha",2015-07-24,"st18",1.05e-06,2.63e-07,5.59e-07,1.05e-06,1.58e-06,205
"123","Alpha",2015-07-25,"st18",1.29e-06,3.22e-07,6.37e-07,1.28e-06,1.88e-06,206
"124","Alpha",2015-07-26,"st18",1.34e-06,3.36e-07,7.2e-07,1.35e-06,2.02e-06,207
"125","Alpha",2015-07-27,"st18",1.29e-06,3.23e-07,6.88e-07,1.32e-06,1.96e-06,208
"126","Alpha",2015-07-28,"st18",1.47e-06,3.68e-07,8.02e-07,1.46e-06,2.14e-06,209
"127","Alpha",2015-07-29,"st18",2.14e-06,5.34e-07,1.12e-06,2.09e-06,3.07e-06,210
"128","Alpha",2015-07-30,"st18",1.34e-06,3.35e-07,7.12e-07,1.37e-06,2.01e-06,211
"129","Alpha",2015-07-31,"st18",8.4e-07,2.1e-07,4.42e-07,8.44e-07,1.26e-06,212
"130","Alpha",2015-08-01,"st18",9.9e-07,2.48e-07,5.38e-07,9.8e-07,1.46e-06,213
"131","Alpha",2015-08-02,"st18",6.91e-07,1.73e-07,3.72e-07,7.03e-07,1.03e-06,214
"132","Alpha",2015-08-03,"st18",1.17e-06,2.93e-07,5.83e-07,1.14e-06,1.74e-06,215
"133","Alpha",2015-08-04,"st18",8.92e-07,2.23e-07,4.96e-07,9.11e-07,1.37e-06,216
"134","Alpha",2015-08-05,"st18",1.41e-06,3.53e-07,6.95e-07,1.4e-06,2.07e-06,217
"135","Alpha",2015-08-06,"st18",8.81e-07,2.2e-07,4.91e-07,9.13e-07,1.33e-06,218
"136","Alpha",2015-08-07,"st18",1.66e-06,4.16e-07,9.4e-07,1.72e-06,2.53e-06,219
"137","Alpha",2015-08-08,"st18",1.68e-06,4.19e-07,8.53e-07,1.67e-06,2.46e-06,220
"138","Alpha",2015-08-09,"st18",1.7e-06,4.26e-07,8.89e-07,1.72e-06,2.53e-06,221
"139","Alpha",2016-07-01,"st18",9.14e-07,2.29e-07,4.79e-07,9.03e-07,1.33e-06,183
"140","Alpha",2016-07-02,"st18",6.32e-07,1.58e-07,3.31e-07,6.35e-07,9.43e-07,184
"141","Alpha",2016-07-03,"st18",3.53e-07,8.83e-08,1.75e-07,3.4e-07,5.15e-07,185
"142","Alpha",2016-07-04,"st18",5e-07,1.25e-07,2.58e-07,5.11e-07,7.68e-07,186
"143","Alpha",2016-07-05,"st18",7.62e-07,1.9e-07,3.71e-07,7.49e-07,1.13e-06,187
"144","Alpha",2016-07-06,"st18",7.83e-07,1.96e-07,4e-07,7.86e-07,1.17e-06,188
"145","Alpha",2016-07-07,"st18",1.43e-06,3.56e-07,7.57e-07,1.43e-06,2.17e-06,189
"146","Alpha",2016-07-08,"st18",1.06e-06,2.64e-07,5.04e-07,1.04e-06,1.53e-06,190
"147","Alpha",2016-07-09,"st18",1.46e-06,3.64e-07,7.92e-07,1.48e-06,2.25e-06,191
"148","Alpha",2016-07-10,"st18",5.57e-07,1.39e-07,2.76e-07,5.73e-07,8.52e-07,192
"149","Alpha",2016-07-11,"st18",9.96e-07,2.49e-07,4.79e-07,9.91e-07,1.47e-06,193
"150","Alpha",2016-07-12,"st18",6.54e-07,1.64e-07,3.43e-07,6.61e-07,9.97e-07,194
"151","Alpha",2016-07-13,"st18",1.25e-06,3.12e-07,6.57e-07,1.25e-06,1.91e-06,195
"152","Alpha",2016-07-14,"st18",8.95e-07,2.24e-07,4.7e-07,9.15e-07,1.35e-06,196
"153","Alpha",2016-07-15,"st18",1.05e-06,2.62e-07,5.61e-07,1.04e-06,1.58e-06,197
"154","Alpha",2016-07-16,"st18",7.1e-07,1.77e-07,3.76e-07,7.06e-07,1.04e-06,198
"155","Alpha",2016-07-17,"st18",9.41e-07,2.35e-07,4.99e-07,9.43e-07,1.39e-06,199
"156","Alpha",2016-07-18,"st18",1.39e-06,3.47e-07,7.85e-07,1.44e-06,2.13e-06,200
"157","Alpha",2016-07-19,"st18",1.15e-06,2.87e-07,5.92e-07,1.15e-06,1.7e-06,201
"158","Alpha",2016-07-20,"st18",1.09e-06,2.72e-07,5.46e-07,1.08e-06,1.63e-06,202
"159","Alpha",2016-07-21,"st18",1.63e-06,4.07e-07,8.67e-07,1.65e-06,2.38e-06,203
"160","Alpha",2016-07-22,"st18",1.53e-06,3.83e-07,7.7e-07,1.54e-06,2.35e-06,204
"161","Alpha",2016-07-23,"st18",1.25e-06,3.13e-07,6.61e-07,1.26e-06,1.87e-06,205
"162","Alpha",2016-07-24,"st18",1.45e-06,3.63e-07,7.53e-07,1.42e-06,2.1e-06,206
"163","Alpha",2016-07-25,"st18",1.76e-06,4.39e-07,9.35e-07,1.8e-06,2.67e-06,207
"164","Alpha",2016-07-26,"st18",2.34e-06,5.85e-07,1.3e-06,2.42e-06,3.57e-06,208
"165","Alpha",2016-07-27,"st18",1.79e-06,4.47e-07,9.21e-07,1.77e-06,2.67e-06,209
"166","Alpha",2016-07-28,"st18",2.25e-06,5.63e-07,1.09e-06,2.18e-06,3.24e-06,210
"167","Alpha",2016-07-29,"st18",2.17e-06,5.42e-07,1.14e-06,2.19e-06,3.19e-06,211
"168","Alpha",2016-07-30,"st18",2.11e-06,5.27e-07,1.12e-06,2.18e-06,3.18e-06,212
"169","Alpha",2016-07-31,"st18",1.81e-06,4.53e-07,9.03e-07,1.8e-06,2.68e-06,213
"170","Alpha",2016-08-01,"st18",1.54e-06,3.86e-07,7.25e-07,1.58e-06,2.33e-06,214
"171","Alpha",2016-08-02,"st18",1.64e-06,4.11e-07,8.76e-07,1.64e-06,2.44e-06,215
"172","Alpha",2016-08-03,"st18",2.44e-06,6.11e-07,1.33e-06,2.49e-06,3.74e-06,216
"173","Alpha",2016-08-04,"st18",3.08e-06,7.7e-07,1.66e-06,3.09e-06,4.65e-06,217
"174","Alpha",2016-08-05,"st18",3.91e-06,9.77e-07,2.26e-06,3.92e-06,5.89e-06,218
"175","Alpha",2016-08-06,"st18",3.84e-06,9.61e-07,2.05e-06,3.85e-06,5.56e-06,219
"176","Alpha",2016-08-07,"st18",4.03e-06,1.01e-06,2.4e-06,4.13e-06,6.02e-06,220
"177","Alpha",2016-08-08,"st18",5.46e-06,1.36e-06,3.11e-06,5.38e-06,7.81e-06,221
"178","Alpha",2016-08-09,"st18",5.23e-06,1.31e-06,2.95e-06,5.23e-06,7.54e-06,222
"179","Alpha",2016-08-10,"st18",7.04e-06,1.76e-06,4.48e-06,7.13e-06,1.04e-05,223
"180","Alpha",2016-08-11,"st18",4.98e-06,1.25e-06,2.61e-06,4.8e-06,7.15e-06,224
"181","Alpha",2016-08-12,"st18",4.55e-06,1.14e-06,2.57e-06,4.49e-06,6.51e-06,225
"182","Alpha",2017-07-02,"st18",1.69e-06,4.23e-07,8.74e-07,1.66e-06,2.53e-06,183
"183","Alpha",2017-07-03,"st18",1.37e-06,3.43e-07,6.99e-07,1.35e-06,2e-06,184
"184","Alpha",2017-07-04,"st18",1.83e-06,4.58e-07,8.78e-07,1.76e-06,2.63e-06,185
"185","Alpha",2017-07-05,"st18",1.82e-06,4.55e-07,9.66e-07,1.79e-06,2.7e-06,186
"186","Alpha",2017-07-06,"st18",4.23e-07,1.06e-07,2.26e-07,4.36e-07,6.25e-07,187
"187","Alpha",2017-07-07,"st18",1.82e-06,4.56e-07,1.01e-06,1.86e-06,2.76e-06,188
"188","Alpha",2017-07-08,"st18",3.19e-06,7.97e-07,1.67e-06,3.15e-06,4.76e-06,189
"189","Alpha",2017-07-11,"st18",2.22e-06,5.54e-07,1.14e-06,2.24e-06,3.37e-06,192
"190","Alpha",2017-07-13,"st18",2.7e-06,6.75e-07,1.36e-06,2.69e-06,3.93e-06,194
"191","Alpha",2017-07-15,"st18",1.67e-06,4.18e-07,8.01e-07,1.66e-06,2.49e-06,196
"192","Alpha",2017-07-16,"st18",1.1e-06,2.76e-07,6.07e-07,1.12e-06,1.63e-06,197
"193","Alpha",2017-07-17,"st18",1.12e-06,2.79e-07,5.75e-07,1.12e-06,1.66e-06,198
"194","Alpha",2017-07-19,"st18",2.54e-06,6.35e-07,1.18e-06,2.49e-06,3.73e-06,200
"195","Alpha",2017-07-20,"st18",1.44e-06,3.61e-07,7.9e-07,1.47e-06,2.14e-06,201
"196","Alpha",2017-07-21,"st18",1.03e-06,2.58e-07,4.82e-07,1.02e-06,1.51e-06,202
"197","Alpha",2017-07-22,"st18",7.16e-07,1.79e-07,3.62e-07,7.35e-07,1.07e-06,203
"198","Alpha",2017-07-23,"st18",1.26e-06,3.16e-07,6.72e-07,1.25e-06,1.88e-06,204
"199","Alpha",2017-07-24,"st18",1.19e-06,2.96e-07,6.24e-07,1.2e-06,1.74e-06,205
"200","Alpha",2017-07-25,"st18",8.15e-07,2.04e-07,4.35e-07,8.21e-07,1.26e-06,206
"201","Alpha",2017-07-26,"st18",1.24e-06,3.1e-07,6.24e-07,1.25e-06,1.86e-06,207
"202","Alpha",2017-07-27,"st18",9.35e-07,2.34e-07,4.82e-07,9.37e-07,1.38e-06,208
"203","Alpha",2017-07-28,"st18",1.5e-06,3.74e-07,7.61e-07,1.51e-06,2.2e-06,209
"204","Alpha",2017-07-29,"st18",1.83e-06,4.58e-07,9.56e-07,1.77e-06,2.71e-06,210
"205","Alpha",2017-07-30,"st18",2.47e-06,6.18e-07,1.23e-06,2.47e-06,3.65e-06,211
"206","Alpha",2017-07-31,"st18",2.36e-06,5.9e-07,1.31e-06,2.36e-06,3.47e-06,212
"207","Alpha",2017-08-01,"st18",3.15e-06,7.88e-07,1.81e-06,3.23e-06,4.67e-06,213
"208","Alpha",2017-08-02,"st18",2.74e-06,6.85e-07,1.45e-06,2.71e-06,3.99e-06,214
"209","Alpha",2017-08-03,"st18",3.48e-06,8.71e-07,2.04e-06,3.56e-06,4.99e-06,215
"210","Alpha",2017-08-04,"st18",5.4e-06,1.35e-06,3.07e-06,5.38e-06,7.97e-06,216
"211","Alpha",2017-08-05,"st18",5.31e-06,1.33e-06,2.93e-06,5.21e-06,7.85e-06,217
"212","Alpha",2017-08-06,"st18",5.06e-06,1.27e-06,2.58e-06,4.9e-06,7.29e-06,218
"213","Alpha",2017-08-07,"st18",5.64e-06,1.41e-06,2.96e-06,5.46e-06,8.28e-06,219
"214","Alpha",2017-08-08,"st18",4.62e-06,1.16e-06,2.49e-06,4.6e-06,6.67e-06,220
"215","Alpha",2017-08-09,"st18",2.79e-06,6.97e-07,1.46e-06,2.78e-06,4.26e-06,221
"216","Alpha",2015-07-02,"st9",6.93e-07,1.73e-07,3.34e-07,6.69e-07,1.02e-06,183
"217","Alpha",2015-07-03,"st9",5.62e-07,1.4e-07,2.86e-07,5.61e-07,8.39e-07,184
"218","Alpha",2015-07-04,"st9",6.71e-07,1.68e-07,3.35e-07,6.79e-07,1e-06,185
"219","Alpha",2015-07-05,"st9",8.71e-07,2.18e-07,4.6e-07,8.88e-07,1.31e-06,186
"220","Alpha",2015-07-06,"st9",7.92e-07,1.98e-07,4.08e-07,7.96e-07,1.18e-06,187
"221","Alpha",2015-07-07,"st9",9.02e-07,2.26e-07,4.56e-07,9.08e-07,1.39e-06,188
"222","Alpha",2015-07-08,"st9",7.55e-07,1.89e-07,4.12e-07,7.58e-07,1.12e-06,189
"223","Alpha",2015-07-09,"st9",3.85e-07,9.63e-08,2.18e-07,3.87e-07,5.8e-07,190
"224","Alpha",2015-07-10,"st9",7.99e-07,2e-07,4.07e-07,7.94e-07,1.18e-06,191
"225","Alpha",2015-07-11,"st9",9.26e-07,2.31e-07,4.22e-07,9.13e-07,1.37e-06,192
"226","Alpha",2015-07-12,"st9",1.16e-06,2.9e-07,6.12e-07,1.17e-06,1.74e-06,193
"227","Alpha",2015-07-13,"st9",1.39e-06,3.46e-07,8e-07,1.44e-06,2.1e-06,194
"228","Alpha",2015-07-14,"st9",1.57e-06,3.93e-07,7.25e-07,1.55e-06,2.31e-06,195
"229","Alpha",2015-07-15,"st9",9.74e-07,2.44e-07,5.06e-07,9.58e-07,1.43e-06,196
"230","Alpha",2015-07-16,"st9",1.33e-06,3.31e-07,7.22e-07,1.31e-06,1.95e-06,197
"231","Alpha",2015-07-17,"st9",1.32e-06,3.29e-07,7.29e-07,1.34e-06,1.96e-06,198
"232","Alpha",2015-07-18,"st9",1.47e-06,3.68e-07,7.7e-07,1.48e-06,2.23e-06,199
"233","Alpha",2015-07-20,"st9",1.14e-06,2.85e-07,5.89e-07,1.13e-06,1.7e-06,201
"234","Alpha",2015-07-21,"st9",8.74e-07,2.19e-07,4.88e-07,8.74e-07,1.3e-06,202
"235","Alpha",2015-07-22,"st9",1.39e-06,3.48e-07,6.54e-07,1.35e-06,2.02e-06,203
"236","Alpha",2015-07-23,"st9",8.02e-07,2.01e-07,4.05e-07,7.99e-07,1.24e-06,204
"237","Alpha",2015-07-24,"st9",1.26e-06,3.16e-07,6.74e-07,1.26e-06,1.88e-06,205
"238","Alpha",2015-07-25,"st9",8.99e-07,2.25e-07,4.58e-07,8.92e-07,1.35e-06,206
"239","Alpha",2015-07-26,"st9",1.12e-06,2.79e-07,6.13e-07,1.15e-06,1.67e-06,207
"240","Alpha",2015-07-27,"st9",8.59e-07,2.15e-07,4.67e-07,8.57e-07,1.29e-06,208
"241","Alpha",2015-07-28,"st9",6.4e-07,1.6e-07,3.01e-07,6.27e-07,9.35e-07,209
"242","Alpha",2015-07-29,"st9",7.65e-07,1.91e-07,4.05e-07,7.67e-07,1.14e-06,210
"243","Alpha",2015-07-30,"st9",8.13e-07,2.03e-07,4.43e-07,8.24e-07,1.2e-06,211
"244","Alpha",2015-07-31,"st9",6.31e-07,1.58e-07,3.35e-07,6.18e-07,9.41e-07,212
"245","Alpha",2015-08-01,"st9",9.02e-07,2.25e-07,4.84e-07,8.86e-07,1.3e-06,213
"246","Alpha",2015-08-02,"st9",1.12e-06,2.79e-07,6.18e-07,1.13e-06,1.68e-06,214
"247","Alpha",2015-08-03,"st9",1.1e-06,2.76e-07,5.48e-07,1.08e-06,1.68e-06,215
"248","Alpha",2015-08-04,"st9",1.22e-06,3.04e-07,6.33e-07,1.21e-06,1.81e-06,216
