Pdt,stream,treatment,GPP_L95per,GPP_median,GPP_U95per,ER_L95per,ER_median,ER_U95per,LightPerDay,meanTemp,meanQds,meanDepthM,meanWidthM,pmax,alpha,julian,invKT,monthday,P_R,NEP,doy,Y,Yf,GPP_medianC,ER_medianC,NEPC,lGPP,lER,invKT.C,streamTreat,meanTemp.StMean,invKT.C.StMean,meanQds.StMean,LightPerDay.StMean,lGPP.StMean,meanTemp.GMean,invKT.C.GMean,meanQds.GMean,LightPerDay.GMean,lGPP.GMean,Tanom.iktCs,Tanom.iktCg,Tanom.Cs,Tanom.Cg,LightPerDayCs,LightPerDayCg,meanQdsCs,meanQdsCg,LightPerDay.l,meanQds.l,LightPerDay.lcs,LightPerDay.lcg,meanQds.lcs,meanQds.lcg,lGPP.cs,lGPP.cg,Qres,DOYres,DOYres2,Tempres
2015-07-09T04:00:00Z,st18,ambient,1.815991826,3.081287025,4.215805658,-1.561364495,-1.030735506,-0.504776488,5422363312,9.776066272,0.021110962,0.079298927,1.252224782,0.016546914,2.74e-7,190,41.01609393,9-Jul,2.989406114,2.050551518,190,2015,2015,0.9629021953125,-0.32854694253750005,0.6343552527749999,-0.03780343484183144,-1.1130755516091209,0.04513128035867453,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.07338024130215844,0.30733929918975766,-0.5103912203831076,-2.155178434952502,2636422307.9017096,2664200454.9786415,4.909371752136772e-4,0.010282639696531096,22.413797592786498,-3.8579628473407093,0.6659460565508013,0.6759669292560417,0.02352974913547623,0.667627294589022,-0.3029360616941504,-0.8370433527623615,0.021406264187079024,-9.372909391334582,-9.6530220447378845,8.46125259193785e-4
2015-07-10T04:00:00Z,st18,ambient,1.702448569,2.903235948,4.0461089,-1.888298527,-1.260903575,-0.690394684,3104854455,9.324791318,0.021753657,0.080096455,1.25466507,0.016281367,4.27e-7,191,41.08162026,10-Jul,2.302504335,1.642332373,191,2015,2015,0.9072612337500001,-0.40191301453124995,0.5053482192187502,-0.09732485076666313,-0.9115195955400871,0.11065761035867894,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.13890657130216283,0.37286562918976207,-0.9616661743831063,-2.6064533889525006,318913450.90170956,346691597.9786415,0.001133632175213676,0.010925334696531095,21.856232676837077,-3.827973397650007,0.10838114060138082,0.11840201330662126,0.05351919882617828,0.6976167442797241,-0.36245747761898206,-0.8965647686871931,-0.033185963015755354,-5.774156373889392,-4.2219229812390555,0.07242095397562658
2015-07-11T04:00:00Z,st18,ambient,1.692201333,2.66595151,3.642956087,-1.624778283,-1.094817672,-0.558901185,2353602633,8.72333078,0.021991693,0.080769353,1.25556888,0.014042767,5.31e-7,192,41.16928011,11-Jul,2.435064374,1.571133838,192,2015,2015,0.833109846875,-0.34897313295,0.484136713925,-0.1825897765116473,-1.0527603426943388,0.19831746035868036,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.22656642130216426,0.4605254791897635,-1.5631267123831076,-3.207913926952502,-432338371.09829044,-404560224.0213585,0.0013716681752136764,0.011163370696531096,21.57921302652258,-3.8170904878383096,-0.16863850971311578,-0.15861763700787535,0.06440210863787588,0.7084996540914217,-0.4477224033639662,-0.9818296944321774,-0.1354547757137038,-1.2975951244453676,2.7059151754443493,0.16612930269205664
2015-07-12T04:00:00Z,st18,ambient,1.734963643,2.996038308,4.153890568,-1.854122171,-1.257503517,-0.62025465,2743402692,9.643424907,0.022640159,0.081762492,1.258031079,0.015468293,5.38e-7,193,41.03533211,12-Jul,2.382528771,1.738534791,193,2015,2015,0.9362619712500001,-0.40082924604375003,0.5354327252062501,-0.06585995785061033,-0.9142197627025694,0.06436946035867663,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.09261842130216054,0.32657747918975977,-0.6430325853831071,-2.2878197999525014,-42538312.09829044,-14760165.02135849,0.0020201341752136767,0.011811836696531096,21.732464845272226,-3.788030002703618,-0.015386690963470784,-0.005365818258230348,0.09346259377256771,0.7375601392261135,-0.33099258470292925,-0.8650998757711403,0.06650638089968944,-5.609929405653165,-5.3520750608090495,0.03822980140848135
2015-07-13T04:00:00Z,st18,ambient,1.451739655,2.44216749,3.329810282,-2.802219678,-1.863967008,-0.988301381,1147117174,9.548804782,0.026295085,0.085344069,1.271908677,0.015430407,6.4e-7,194,41.04906676,13-Jul,1.310198882,0.578200482,194,2015,2015,0.763177340625,-0.5941394837999999,0.16903785682500005,-0.2702648492455768,-0.5206411659735566,0.07810411035868015,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.10635307130216405,0.3403121291897633,-0.7376527103831076,-2.382439924952502,-1638823830.0982904,-1611045683.0213585,0.005675060175213676,0.015466762696531095,20.860517826807104,-3.6383732393923367,-0.8873337094285922,-0.8773128367233518,0.2431193570838488,0.8872169025373946,-0.5353974760978957,-1.0695047671661069,0.19843439717834974,-4.065217636642747,-3.4232942981370726,0.058012950124913365
2015-07-14T04:00:00Z,st18,ambient,1.691269331,2.978792891,4.106071235,-3.81007499,-2.632493264,-1.356069357,1311073269,8.979985386,0.028831965,0.088433005,1.281541105,0.0140961,8.05e-7,195,41.13182828,14-Jul,1.131548153,0.346299627,195,2015,2015,0.9308727784374999,-0.8391072278999998,0.09176555053750013,-0.07163266148566447,-0.175416776271207,0.1608656303586784,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.1891145913021623,0.42307364918976154,-1.306472106383108,-2.951259320952502,-1474867735.0982904,-1447089588.0213585,0.008211940175213678,0.018003642696531097,20.99411192803816,-3.546270611485914,-0.753739608197538,-0.7437187354922976,0.33522198499027134,0.9793195304438171,-0.33676528833798336,-0.8708725794061946,0.18370808862736143,0.21707743204691454,3.1733031881818974,0.14682296884134016
2015-07-15T04:00:00Z,st18,ambient,2.273431938,3.703139187,5.061863658,-2.597815854,-1.757612412,-0.904388878,3296411587,10.1015672,0.022443239,0.081427363,1.257283381,0.018830047,6.04e-7,196,40.96895994,15-Jul,2.106914563,1.945526775,196,2015,2015,1.1572309959375002,-0.560238956325,0.5969920396125002,0.14603007905104765,-0.5793918785435784,-0.0020027096413244294,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.026246251302159476,0.2602053091897587,-0.18489029238310728,-1.8296775069525015,510470582.90170956,538248729.9786415,0.001823214175213677,0.011614916696531096,21.91610031589404,-3.7967658682802656,0.16824877965834517,0.1782696523635856,0.08472672819591986,0.7288242736494657,-0.11910254780127127,-0.6532098388694825,0.14344400623368145,-5.242228163448336,-6.840372518172684,-0.009996872442234173
2015-07-16T04:00:00Z,st18,ambient,2.084638065,3.447464463,4.738153347,-2.44295593,-1.660540734,-0.847294198,2532267334,10.04140227,0.020509381,0.078380606,1.249940606,0.019209257,6.96e-7,197,40.97766393,16-Jul,2.076109543,1.78692373,197,2015,2015,1.0773326446875,-0.5292973589625,0.548035285725,0.07448821277719957,-0.6362048898104095,0.0067012803586763425,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,0.03495024130216025,0.2689092991897595,-0.2450552223831064,-1.8898424369525006,-253673670.09829044,-225895523.0213585,-1.1064382478632312e-4,0.009681058696531096,21.652380917803438,-3.88687288775309,-0.0954706184322589,-0.08544974572701847,-0.005380291276904536,0.6387172541766413,-0.19064441407511934,-0.7247517051433305,0.04210183793038552,-3.8970307401176947,-5.251781001789818,0.004755616274195171
2015-07-17T04:00:00Z,st18,ambient,2.068668549,3.59579603,5.0671346,-2.568425898,-1.725630744,-0.827335106,4373952813,10.77250673,0.017155246,0.071833234,1.237205096,0.019672665,6.5e-7,198,40.87214587,17-Jul,2.083757514,1.870165286,198,2015,2015,1.1236862593749999,-0.55004479965,0.5736414597249999,0.11661458383791247,-0.5977555501637191,-0.09881677964132507,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,-0.07056781869784116,0.16339123918975806,0.4860492376168928,-1.1587379769525015,1588011808.9017096,1615789955.9786415,-0.0034647788247863243,0.006326923696531095,22.198932971076953,-4.065451262931927,0.4510814348412566,0.46110230754649706,-0.18395866645574177,0.46013887899780404,-0.14851804301440646,-0.6826253340826176,-2.7335820039097944e-4,-7.081842812149625,-11.387248177323514,-0.0947139450093778
2015-07-18T04:00:00Z,st18,ambient,2.170436304,3.912764965,5.562616566,-2.307177503,-1.545157676,-0.767938898,4598084483,10.53467885,0.018237225,0.073908666,1.241313325,0.020524443,7.12e-7,199,40.90641115,18-Jul,2.532275525,2.367607289,199,2015,2015,1.2227390515625,-0.492519009225,0.7302200423375,0.20109346645121945,-0.7082222217036869,-0.06455149964132545,st18 ambient,10.286457492383107,-0.028248960943483906,0.020620024824786323,2785941004.0982904,0.2651326268523189,11.931244706952501,-0.26220801883108313,0.010828322303468904,2758162857.0213585,0.7992399179205301,-0.036302538697841544,0.19765651918975768,0.24822135761689346,-1.3965658569525008,1812143478.9017096,1839921625.9786415,-0.002382799824786324,0.007408902696531095,22.248905636976804,-4.00429044406803,0.5010541007411078,0.5110749734463482,-0.12279784759184409,0.5212996978617017,-0.06403916040109947,-0.5981464514693107,0.016657685523859322,-4.722892909208357,-8.070120846699115,-0.05440016629294967
