,parameter,metab_date,metab_stream,analysis_date,PriorMean,PriorSD,L95per,median,U95per
87,DOgw,6/13/15,st9,5/23/20 18:39,9.757779445,3.794692006,4.009859544,10.024904,15.56981026
88,sr,6/13/15,st9,5/23/20 18:39,NA,NA,2.00942233,2.034737423,2.060733963
89,bymed_GPP,6/13/15,st9,5/23/20 18:39,NA,NA,NA,1.298890512,NA
90,BS_GPP,6/13/15,st9,5/23/20 18:39,NA,NA,0.764661504,1.273557487,1.732957814
91,accept4df,6/14/15,st9,5/23/20 4:39,NA,NA,NA,0.194125,NA
92,pmaxr,6/14/15,st9,5/23/20 4:39,0.009893378,0.002473344,0.004726618,0.009919522,0.015074687
93,alphar,6/14/15,st9,5/23/20 4:39,1.25E-07,3.12E-08,6.53E-08,1.26E-07,1.84E-07
94,err,6/14/15,st9,5/23/20 4:39,-1.364083144,0.341020786,-2.020476177,-1.367623433,-0.717042488
95,Kr,6/14/15,st9,5/23/20 4:39,458.3567115,114.5891779,245.8227318,456.3739432,669.7841311
96,DOgw,6/14/15,st9,5/23/20 4:39,9.668320252,3.75990232,3.927377203,9.844538725,15.51317546
97,sr,6/14/15,st9,5/23/20 4:39,NA,NA,2.000937955,2.026754251,2.052837486
98,bymed_GPP,6/14/15,st9,5/23/20 4:39,NA,NA,NA,1.175734739,NA
99,BS_GPP,6/14/15,st9,5/23/20 4:39,NA,NA,0.668528834,1.127660376,1.616130133
100,accept4df,6/15/15,st9,5/23/20 6:12,NA,NA,NA,0.19308,NA
101,pmaxr,6/15/15,st9,5/23/20 6:12,0.008007859,0.002001965,0.004208713,0.007887445,0.011773679
102,alphar,6/15/15,st9,5/23/20 6:12,1.48E-07,3.69E-08,7.50E-08,1.50E-07,2.20E-07
103,err,6/15/15,st9,5/23/20 6:12,-1.009013636,0.252253409,-1.473450442,-1.018540867,-0.592912467
104,Kr,6/15/15,st9,5/23/20 6:12,415.3084226,103.8271057,225.8498364,423.9540906,614.6015017
105,DOgw,6/15/15,st9,5/23/20 6:12,9.668445839,3.759951159,4.042705354,9.865362352,15.39252415
106,sr,6/15/15,st9,5/23/20 6:12,NA,NA,1.999189317,2.025125352,2.051187281
107,bymed_GPP,6/15/15,st9,5/23/20 6:12,NA,NA,NA,0.858553231,NA
108,BS_GPP,6/15/15,st9,5/23/20 6:12,NA,NA,0.500274631,0.829273541,1.108552745
109,accept4df,6/19/15,st9,5/23/20 7:45,NA,NA,NA,0.193635,NA
110,pmaxr,6/19/15,st9,5/23/20 7:45,0.008177014,0.002044254,0.004045241,0.008159721,0.011860789
111,alphar,6/19/15,st9,5/23/20 7:45,5.00E-07,1.25E-07,2.60E-07,5.04E-07,7.41E-07
112,err,6/19/15,st9,5/23/20 7:45,-0.337651369,0.084412842,-0.503209951,-0.343442766,-0.183862213
113,Kr,6/19/15,st9,5/23/20 7:45,683,170.75,351.5550842,695.9025167,1004.57512
114,DOgw,6/19/15,st9,5/23/20 7:45,9.875827933,3.840599752,4.524730044,10.24967142,16.7603482
115,sr,6/19/15,st9,5/23/20 7:45,NA,NA,2.025042573,2.05052205,2.076105494
116,bymed_GPP,6/19/15,st9,5/23/20 7:45,NA,NA,NA,1.83261975,NA
117,BS_GPP,6/19/15,st9,5/23/20 7:45,NA,NA,1.034473061,1.774452314,2.402857497
118,accept4df,6/20/15,st9,5/23/20 9:19,NA,NA,NA,0.194855,NA
119,pmaxr,6/20/15,st9,5/23/20 9:19,0.015008151,0.003752038,0.007114531,0.014440973,0.022303475
120,alphar,6/20/15,st9,5/23/20 9:19,3.66E-07,9.14E-08,1.71E-07,3.61E-07,5.24E-07
121,err,6/20/15,st9,5/23/20 9:19,-0.559935243,0.139983811,-0.826659447,-0.567733922,-0.285153185
122,Kr,6/20/15,st9,5/23/20 9:19,683,170.75,363.011078,693.1155032,1034.501858
123,DOgw,6/20/15,st9,5/23/20 9:19,9.575944893,3.723978569,3.959957494,9.622994719,15.4009199
124,sr,6/20/15,st9,5/23/20 9:19,NA,NA,1.997483612,2.023252544,2.04965902
125,bymed_GPP,6/20/15,st9,5/23/20 9:19,NA,NA,NA,2.695947115,NA
126,BS_GPP,6/20/15,st9,5/23/20 9:19,NA,NA,1.489355489,2.593885573,3.637559407
127,accept4df,6/21/15,st9,5/23/20 10:52,NA,NA,NA,0.193625,NA
128,pmaxr,6/21/15,st9,5/23/20 10:52,0.013456525,0.003364131,0.006867539,0.01352723,0.020591826
129,alphar,6/21/15,st9,5/23/20 10:52,3.03E-07,7.57E-08,1.68E-07,3.14E-07,4.61E-07
130,err,6/21/15,st9,5/23/20 10:52,-0.636356931,0.159089233,-0.938593165,-0.639137549,-0.326635938
131,Kr,6/21/15,st9,5/23/20 10:52,683,170.75,399.1650175,688.4136653,1040.181924
132,DOgw,6/21/15,st9,5/23/20 10:52,9.427453541,3.666231933,3.414928228,9.156787347,14.63654068
133,sr,6/21/15,st9,5/23/20 10:52,NA,NA,1.982390869,2.008189409,2.034196938
134,bymed_GPP,6/21/15,st9,5/23/20 10:52,NA,NA,NA,2.717974186,NA
135,BS_GPP,6/21/15,st9,5/23/20 10:52,NA,NA,1.623184012,2.620995293,3.629735842
136,accept4df,6/24/15,st9,5/23/20 12:26,NA,NA,NA,0.192715,NA
137,pmaxr,6/24/15,st9,5/23/20 12:26,0.017773413,0.004443353,0.009251171,0.017600328,0.026891664
138,alphar,6/24/15,st9,5/23/20 12:26,5.02E-07,1.26E-07,2.64E-07,5.03E-07,7.37E-07
139,err,6/24/15,st9,5/23/20 12:26,-1.737255336,0.434313834,-2.565381511,-1.742295227,-0.924990616
140,Kr,6/24/15,st9,5/23/20 12:26,683,170.75,312.7004271,680.5980904,1016.463452
141,DOgw,6/24/15,st9,5/23/20 12:26,9.370886718,3.644233724,3.150687952,9.957345339,15.32382292
142,sr,6/24/15,st9,5/23/20 12:26,NA,NA,1.973432885,1.999131959,2.024893425
143,bymed_GPP,6/24/15,st9,5/23/20 12:26,NA,NA,NA,2.456790418,NA
144,BS_GPP,6/24/15,st9,5/23/20 12:26,NA,NA,1.486880508,2.412024774,3.321290784
145,accept4df,6/25/15,st9,5/23/20 14:00,NA,NA,NA,0.19428,NA
146,pmaxr,6/25/15,st9,5/23/20 14:00,0.018984995,0.004746249,0.008975597,0.018853663,0.02736419
147,alphar,6/25/15,st9,5/23/20 14:00,3.03E-07,7.58E-08,1.45E-07,3.09E-07,4.54E-07
148,err,6/25/15,st9,5/23/20 14:00,-1.375685371,0.343921343,-2.01907354,-1.370323452,-0.740773279
149,Kr,6/25/15,st9,5/23/20 14:00,653.9499401,163.487485,346.0359355,652.9368154,930.7150083
150,DOgw,6/25/15,st9,5/23/20 14:00,9.283877853,3.610396943,4.111135503,9.456207502,15.2174837
151,sr,6/25/15,st9,5/23/20 14:00,NA,NA,1.966640694,1.992217007,2.018303923
152,bymed_GPP,6/25/15,st9,5/23/20 14:00,NA,NA,NA,2.550600048,NA
153,BS_GPP,6/25/15,st9,5/23/20 14:00,NA,NA,1.379249598,2.46286384,3.340558445
154,accept4df,6/26/15,st9,5/23/20 4:39,NA,NA,NA,0.192875,NA
155,pmaxr,6/26/15,st9,5/23/20 4:39,0.011158581,0.002789645,0.005756992,0.011471625,0.01683928
156,alphar,6/26/15,st9,5/23/20 4:39,4.22E-07,1.05E-07,2.28E-07,4.17E-07,6.47E-07
157,err,6/26/15,st9,5/23/20 4:39,-1.008517375,0.252129344,-1.535317895,-1.011710412,-0.547704949
158,Kr,6/26/15,st9,5/23/20 4:39,486.9898728,121.7474682,248.9383156,491.0260554,726.9515758
159,DOgw,6/26/15,st9,5/23/20 4:39,9.392280464,3.652553514,3.897242326,9.698573476,15.71833774
160,sr,6/26/15,st9,5/23/20 4:39,NA,NA,1.977220457,2.003334636,2.028959311
161,bymed_GPP,6/26/15,st9,5/23/20 4:39,NA,NA,NA,1.931939421,NA
162,BS_GPP,6/26/15,st9,5/23/20 4:39,NA,NA,1.04555571,1.878138747,2.613873892
163,accept4df,6/27/15,st9,5/23/20 6:14,NA,NA,NA,0.19318,NA
164,pmaxr,6/27/15,st9,5/23/20 6:14,0.006148197,0.001537049,0.003062987,0.00615725,0.009349638
165,alphar,6/27/15,st9,5/23/20 6:14,2.86E-07,7.16E-08,1.57E-07,2.97E-07,4.50E-07
166,err,6/27/15,st9,5/23/20 6:14,-0.384720629,0.096180157,-0.553868298,-0.379809011,-0.194400161
167,Kr,6/27/15,st9,5/23/20 6:14,343.9764498,85.99411244,186.6951848,354.3284756,533.5532518
168,DOgw,6/27/15,st9,5/23/20 6:14,9.276815055,3.607650299,3.159526465,8.887814693,14.35412955
169,sr,6/27/15,st9,5/23/20 6:14,NA,NA,1.963869374,1.989629163,2.015876826
170,bymed_GPP,6/27/15,st9,5/23/20 6:14,NA,NA,NA,0.914511255,NA
171,BS_GPP,6/27/15,st9,5/23/20 6:14,NA,NA,0.509995245,0.895640108,1.25809764
172,accept4df,6/28/15,st9,5/23/20 7:48,NA,NA,NA,0.19351,NA
173,pmaxr,6/28/15,st9,5/23/20 7:48,0.007716073,0.001929018,0.00391604,0.007660027,0.01151086
174,alphar,6/28/15,st9,5/23/20 7:48,4.10E-07,1.03E-07,2.10E-07,4.08E-07,6.02E-07
175,err,6/28/15,st9,5/23/20 7:48,-0.53786113,0.134465283,-0.795583529,-0.526375695,-0.265064253
176,Kr,6/28/15,st9,5/23/20 7:48,368.8737644,92.2184411,180.61754,372.4820071,536.6181716
177,DOgw,6/28/15,st9,5/23/20 7:48,9.222447447,3.586507341,4.22391741,9.077482528,14.34905995
178,sr,6/28/15,st9,5/23/20 7:48,NA,NA,1.959203752,1.984509122,2.010315473
179,bymed_GPP,6/28/15,st9,5/23/20 7:48,NA,NA,NA,1.165656301,NA
180,BS_GPP,6/28/15,st9,5/23/20 7:48,NA,NA,0.673412546,1.132246384,1.581821591
181,accept4df,6/29/15,st9,5/23/20 9:22,NA,NA,NA,0.191905,NA
182,pmaxr,6/29/15,st9,5/23/20 9:22,0.006209352,0.001552338,0.003396813,0.006204013,0.009266279
183,alphar,6/29/15,st9,5/23/20 9:22,2.71E-07,6.78E-08,1.44E-07,2.76E-07,4.01E-07
184,err,6/29/15,st9,5/23/20 9:22,-0.314119821,0.078529955,-0.453827968,-0.30849574,-0.162785482
185,Kr,6/29/15,st9,5/23/20 9:22,312,78,173.3500702,311.3472727,457.2342249
186,DOgw,6/29/15,st9,5/23/20 9:22,9.187619057,3.572962967,4.003031195,9.37077536,14.65221472
187,sr,6/29/15,st9,5/23/20 9:22,NA,NA,1.957177832,1.982621275,2.008735397
188,bymed_GPP,6/29/15,st9,5/23/20 9:22,NA,NA,NA,0.943204819,NA
189,BS_GPP,6/29/15,st9,5/23/20 9:22,NA,NA,0.581260093,0.91600671,1.261099239
190,accept4df,6/30/15,st9,5/23/20 10:56,NA,NA,NA,0.194945,NA
191,pmaxr,6/30/15,st9,5/23/20 10:56,0.005905822,0.001476455,0.003340601,0.005969702,0.008860567
192,alphar,6/30/15,st9,5/23/20 10:56,2.33E-07,5.84E-08,1.26E-07,2.40E-07,3.42E-07
193,err,6/30/15,st9,5/23/20 10:56,-0.280309149,0.070077287,-0.415051667,-0.275913607,-0.1375465
194,Kr,6/30/15,st9,5/23/20 10:56,312,78,162.4538714,317.3100965,480.5912619
195,DOgw,6/30/15,st9,5/23/20 10:56,9.180355384,3.570138205,4.36106531,9.023154495,13.84424744
196,sr,6/30/15,st9,5/23/20 10:56,NA,NA,1.955924462,1.981597225,2.007769239
197,bymed_GPP,6/30/15,st9,5/23/20 10:56,NA,NA,NA,0.880902171,NA
198,BS_GPP,6/30/15,st9,5/23/20 10:56,NA,NA,0.529552494,0.860845362,1.171339576
199,accept4df,7/1/15,st9,5/23/20 12:29,NA,NA,NA,0.19355,NA
200,pmaxr,7/1/15,st9,5/23/20 12:29,0.00696382,0.001740955,0.003634166,0.007089961,0.010329427
201,alphar,7/1/15,st9,5/23/20 12:29,1.91E-07,4.77E-08,9.96E-08,1.91E-07,2.91E-07
202,err,7/1/15,st9,5/23/20 12:29,-0.036367875,0.009091969,-0.053094285,-0.035064097,-0.016566387
203,Kr,7/1/15,st9,5/23/20 12:29,312,78,167.818289,319.459153,455.1618203
204,DOgw,7/1/15,st9,5/23/20 12:29,9.263390743,3.602429734,5.88074599,9.678715316,13.52152414
205,sr,7/1/15,st9,5/23/20 12:29,NA,NA,1.960737987,1.986637892,2.012676665
206,bymed_GPP,7/1/15,st9,5/23/20 12:29,NA,NA,NA,0.561992429,NA
207,BS_GPP,7/1/15,st9,5/23/20 12:29,NA,NA,0.31065142,0.547365308,0.767397172
208,accept4df,7/2/15,st9,5/23/20 14:03,NA,NA,NA,0.193475,NA
209,pmaxr,7/2/15,st9,5/23/20 14:03,0.021559696,0.005389924,0.01060968,0.021523903,0.03170475
210,alphar,7/2/15,st9,5/23/20 14:03,6.93E-07,1.73E-07,3.34E-07,6.69E-07,1.02E-06
211,err,7/2/15,st9,5/23/20 14:03,-1.68347686,0.420869215,-2.545973274,-1.706539479,-0.87253404
212,Kr,7/2/15,st9,5/23/20 14:03,606.2923504,151.5730876,334.5693943,627.3450048,911.667333
213,DOgw,7/2/15,st9,5/23/20 14:03,9.184044567,3.571572887,3.753152597,9.316346142,15.14362789
214,sr,7/2/15,st9,5/23/20 14:03,NA,NA,1.955464124,1.981280115,2.007247825
215,bymed_GPP,7/2/15,st9,5/23/20 14:03,NA,NA,NA,2.860789004,NA
216,BS_GPP,7/2/15,st9,5/23/20 14:03,NA,NA,1.630333152,2.762403979,3.801495237
217,accept4df,7/3/15,st9,5/23/20 15:38,NA,NA,NA,0.194325,NA
218,pmaxr,7/3/15,st9,5/23/20 15:38,0.032089645,0.008022411,0.015676155,0.031595992,0.047464575
219,alphar,7/3/15,st9,5/23/20 15:38,5.62E-07,1.40E-07,2.86E-07,5.61E-07,8.39E-07
220,err,7/3/15,st9,5/23/20 15:38,-1.731709055,0.432927264,-2.564047202,-1.667477825,-0.773566057
221,Kr,7/3/15,st9,5/23/20 15:38,683,170.75,341.3778495,682.7202895,1001.805702
222,DOgw,7/3/15,st9,5/23/20 15:38,9.079504485,3.530918411,3.031724895,8.905821058,14.58400235
223,sr,7/3/15,st9,5/23/20 15:38,NA,NA,1.946919463,1.972509861,1.998689019
224,bymed_GPP,7/3/15,st9,5/23/20 15:38,NA,NA,NA,4.332938093,NA
225,BS_GPP,7/3/15,st9,5/23/20 15:38,NA,NA,2.466817676,4.17378854,5.789503607
226,accept4df,7/4/15,st9,5/23/20 17:12,NA,NA,NA,0.192365,NA
227,pmaxr,7/4/15,st9,5/23/20 17:12,0.032546495,0.008136624,0.014931965,0.031224166,0.047342755
228,alphar,7/4/15,st9,5/23/20 17:12,6.71E-07,1.68E-07,3.35E-07,6.79E-07,1.00E-06
229,err,7/4/15,st9,5/23/20 17:12,-2.17517465,0.543793663,-3.258034809,-2.19500995,-1.144983786
230,Kr,7/4/15,st9,5/23/20 17:12,683,170.75,364.2830702,673.4863062,992.147349
231,DOgw,7/4/15,st9,5/23/20 17:12,9.106328235,3.541349869,4.160696156,9.44590086,14.66062701
232,sr,7/4/15,st9,5/23/20 17:12,NA,NA,1.9501497,1.975859154,2.001589824
233,bymed_GPP,7/4/15,st9,5/23/20 17:12,NA,NA,NA,4.546145237,NA
234,BS_GPP,7/4/15,st9,5/23/20 17:12,NA,NA,2.509567459,4.347883949,5.977328576
235,accept4df,7/5/15,st9,5/23/20 18:47,NA,NA,NA,0.19528,NA
236,pmaxr,7/5/15,st9,5/23/20 18:47,0.030347226,0.007586806,0.016789584,0.030444474,0.044507323
237,alphar,7/5/15,st9,5/23/20 18:47,8.71E-07,2.18E-07,4.60E-07,8.88E-07,1.31E-06
238,err,7/5/15,st9,5/23/20 18:47,-2.281861246,0.570465312,-3.517880526,-2.284088493,-1.14244232
239,Kr,7/5/15,st9,5/23/20 18:47,683,170.75,390.15112,696.5180729,1034.240543
240,DOgw,7/5/15,st9,5/23/20 18:47,9.097553292,3.537937391,2.686513048,8.702232952,14.74358645
241,sr,7/5/15,st9,5/23/20 18:47,NA,NA,1.94521582,1.970947887,1.997297368
242,bymed_GPP,7/5/15,st9,5/23/20 18:47,NA,NA,NA,3.973234622,NA
243,BS_GPP,7/5/15,st9,5/23/20 18:47,NA,NA,2.427310432,3.862716233,5.326005235
244,accept4df,7/6/15,st9,5/23/20 4:40,NA,NA,NA,0.193205,NA
245,pmaxr,7/6/15,st9,5/23/20 4:40,0.035554764,0.008888691,0.019791222,0.036309574,0.053193495
246,alphar,7/6/15,st9,5/23/20 4:40,7.92E-07,1.98E-07,4.08E-07,7.96E-07,1.18E-06
247,err,7/6/15,st9,5/23/20 4:40,-2.342184086,0.585546021,-3.519476514,-2.325022005,-1.18386223
248,Kr,7/6/15,st9,5/23/20 4:40,683,170.75,403.641027,700.1004463,1003.248651
249,DOgw,7/6/15,st9,5/23/20 4:40,9.063126286,3.524549111,3.666980475,8.83960229,14.26536132
250,sr,7/6/15,st9,5/23/20 4:40,NA,NA,1.945445361,1.971189353,1.997472614
251,bymed_GPP,7/6/15,st9,5/23/20 4:40,NA,NA,NA,5.275124339,NA
252,BS_GPP,7/6/15,st9,5/23/20 4:40,NA,NA,3.26954501,5.162682078,6.906906761
253,accept4df,7/7/15,st9,5/23/20 6:15,NA,NA,NA,0.19248,NA
254,pmaxr,7/7/15,st9,5/23/20 6:15,0.031058227,0.007764557,0.014902513,0.03027285,0.045925656
255,alphar,7/7/15,st9,5/23/20 6:15,9.02E-07,2.26E-07,4.56E-07,9.08E-07,1.39E-06
256,err,7/7/15,st9,5/23/20 6:15,-2.450165896,0.612541474,-3.678312533,-2.449898938,-1.266803173
257,Kr,7/7/15,st9,5/23/20 6:15,628.2463048,157.0615762,352.414856,637.089016,948.1037186
258,DOgw,7/7/15,st9,5/23/20 6:15,9.029907573,3.511630723,3.841009563,9.229409238,14.6584625
259,sr,7/7/15,st9,5/23/20 6:15,NA,NA,1.944294236,1.969929131,1.995946366
260,bymed_GPP,7/7/15,st9,5/23/20 6:15,NA,NA,NA,4.805167914,NA
261,BS_GPP,7/7/15,st9,5/23/20 6:15,NA,NA,2.672528999,4.704648054,6.512583806
262,accept4df,7/8/15,st9,5/23/20 7:48,NA,NA,NA,0.19264,NA
263,pmaxr,7/8/15,st9,5/23/20 7:48,0.043483163,0.010870791,0.023197018,0.043614583,0.063104226
264,alphar,7/8/15,st9,5/23/20 7:48,7.55E-07,1.89E-07,4.12E-07,7.58E-07,1.12E-06
265,err,7/8/15,st9,5/23/20 7:48,-3.053291749,0.763322937,-4.589017154,-3.047632696,-1.564125635
266,Kr,7/8/15,st9,5/23/20 7:48,683,170.75,373.4027911,684.583697,1021.6438
