,parameter,metab_date,metab_stream,analysis_date,PriorMean,PriorSD,L95per,median,U95per
1,accept4df,6/4/15,st9,5/23/20 4:39,NA,NA,NA,0.192355,NA
2,pmaxr,6/4/15,st9,5/23/20 4:39,0.01546191,0.003865478,0.007681166,0.015316596,0.022409078
3,alphar,6/4/15,st9,5/23/20 4:39,6.19E-07,1.55E-07,3.09E-07,6.23E-07,9.34E-07
4,err,6/4/15,st9,5/23/20 4:39,-4.461828223,1.115457056,-6.629741764,-4.547181222,-2.498729946
5,Kr,6/4/15,st9,5/23/20 4:39,683,170.75,381.8164783,686.5420917,1016.634516
6,DOgw,6/4/15,st9,5/23/20 4:39,9.894473076,3.847850641,3.14073114,9.869229175,15.93258061
7,sr,6/4/15,st9,5/23/20 4:39,NA,NA,2.018803744,2.044474954,2.0706213
8,bymed_GPP,6/4/15,st9,5/23/20 4:39,NA,NA,NA,3.189670265,NA
9,BS_GPP,6/4/15,st9,5/23/20 4:39,NA,NA,1.781738702,3.082056629,4.225110398
10,accept4df,6/5/15,st9,5/23/20 6:12,NA,NA,NA,0.194805,NA
11,pmaxr,6/5/15,st9,5/23/20 6:12,0.015195039,0.00379876,0.008299741,0.01575376,0.023765442
12,alphar,6/5/15,st9,5/23/20 6:12,6.13E-07,1.53E-07,3.12E-07,5.99E-07,9.16E-07
13,err,6/5/15,st9,5/23/20 6:12,-4.027373062,1.006843266,-6.130231538,-4.108728534,-2.297085925
14,Kr,6/5/15,st9,5/23/20 6:12,683,170.75,385.6766469,709.0800718,1014.314318
15,DOgw,6/5/15,st9,5/23/20 6:12,9.865438239,3.836559315,3.396587507,9.75601785,16.35438366
16,sr,6/5/15,st9,5/23/20 6:12,NA,NA,2.017391968,2.043358492,2.069769585
17,bymed_GPP,6/5/15,st9,5/23/20 6:12,NA,NA,NA,3.203699721,NA
18,BS_GPP,6/5/15,st9,5/23/20 6:12,NA,NA,1.847377563,3.140285616,4.331700445
19,accept4df,6/6/15,st9,5/23/20 7:45,NA,NA,NA,0.19255,NA
20,pmaxr,6/6/15,st9,5/23/20 7:45,0.010911219,0.002727805,0.005517123,0.010824316,0.015887032
21,alphar,6/6/15,st9,5/23/20 7:45,7.19E-07,1.80E-07,3.32E-07,7.00E-07,1.03E-06
22,err,6/6/15,st9,5/23/20 7:45,-3.42425465,0.856063663,-5.16192912,-3.438616741,-1.59962513
23,Kr,6/6/15,st9,5/23/20 7:45,683,170.75,327.24783,692.4582169,995.5027479
24,DOgw,6/6/15,st9,5/23/20 7:45,9.859584227,3.834282755,4.107412695,10.2033151,15.73950263
25,sr,6/6/15,st9,5/23/20 7:45,NA,NA,2.018635808,2.044292389,2.070112238
26,bymed_GPP,6/6/15,st9,5/23/20 7:45,NA,NA,NA,2.900400753,NA
27,BS_GPP,6/6/15,st9,5/23/20 7:45,NA,NA,1.595015756,2.902870734,4.043163829
28,accept4df,6/7/15,st9,5/23/20 9:18,NA,NA,NA,0.193235,NA
29,pmaxr,6/7/15,st9,5/23/20 9:18,0.014520267,0.003630067,0.006793077,0.014269206,0.02148749
30,alphar,6/7/15,st9,5/23/20 9:18,7.52E-07,1.88E-07,4.10E-07,7.51E-07,1.11E-06
31,err,6/7/15,st9,5/23/20 9:18,-3.468158828,0.867039707,-5.114565557,-3.498414756,-1.792525665
32,Kr,6/7/15,st9,5/23/20 9:18,683,170.75,340.9559733,693.815729,1014.314223
33,DOgw,6/7/15,st9,5/23/20 9:18,10.08948113,3.923687106,3.864360154,10.13552019,16.24203593
34,sr,6/7/15,st9,5/23/20 9:18,NA,NA,2.039745637,2.065260759,2.091576867
35,bymed_GPP,6/7/15,st9,5/23/20 9:18,NA,NA,NA,2.266485873,NA
36,BS_GPP,6/7/15,st9,5/23/20 9:18,NA,NA,1.214819028,2.241522767,3.116929191
37,accept4df,6/8/15,st9,5/23/20 10:52,NA,NA,NA,0.193685,NA
38,pmaxr,6/8/15,st9,5/23/20 10:52,0.00750357,0.001875892,0.00336251,0.007434217,0.010845586
39,alphar,6/8/15,st9,5/23/20 10:52,1.14E-06,2.84E-07,6.07E-07,1.15E-06,1.66E-06
40,err,6/8/15,st9,5/23/20 10:52,-2.858716124,0.714679031,-4.151118984,-2.783196359,-1.430136811
41,Kr,6/8/15,st9,5/23/20 10:52,683,170.75,393.6705958,676.2951846,1012.750799
42,DOgw,6/8/15,st9,5/23/20 10:52,10.20490905,3.968575742,4.31716231,9.898368513,15.72176087
43,sr,6/8/15,st9,5/23/20 10:52,NA,NA,2.048410516,2.073708136,2.099823667
44,bymed_GPP,6/8/15,st9,5/23/20 10:52,NA,NA,NA,2.372539427,NA
45,BS_GPP,6/8/15,st9,5/23/20 10:52,NA,NA,1.20749487,2.280856036,3.072801971
46,accept4df,6/9/15,st9,5/23/20 12:26,NA,NA,NA,0.193735,NA
47,pmaxr,6/9/15,st9,5/23/20 12:26,0.012207559,0.00305189,0.006159839,0.011834711,0.017888004
48,alphar,6/9/15,st9,5/23/20 12:26,7.66E-07,1.92E-07,3.96E-07,7.58E-07,1.12E-06
49,err,6/9/15,st9,5/23/20 12:26,-3.39739296,0.84934824,-5.059361142,-3.455195311,-1.885621564
50,Kr,6/9/15,st9,5/23/20 12:26,683,170.75,320.6208717,682.1120164,1009.017824
51,DOgw,6/9/15,st9,5/23/20 12:26,10.11273996,3.932732206,3.310621547,9.729132291,16.02286281
52,sr,6/9/15,st9,5/23/20 12:26,NA,NA,2.041341133,2.066790649,2.092968936
53,bymed_GPP,6/9/15,st9,5/23/20 12:26,NA,NA,NA,2.287867215,NA
54,BS_GPP,6/9/15,st9,5/23/20 12:26,NA,NA,1.319380961,2.217113088,3.04578208
55,accept4df,6/10/15,st9,5/23/20 13:58,NA,NA,NA,0.193575,NA
56,pmaxr,6/10/15,st9,5/23/20 13:58,0.013279399,0.00331985,0.006676235,0.013004862,0.019920062
57,alphar,6/10/15,st9,5/23/20 13:58,6.36E-07,1.59E-07,3.20E-07,6.37E-07,9.34E-07
58,err,6/10/15,st9,5/23/20 13:58,-3.15216522,0.788041305,-4.650406588,-3.066272994,-1.484758106
59,Kr,6/10/15,st9,5/23/20 13:58,683,170.75,354.5144496,682.9166142,1025.993803
60,DOgw,6/10/15,st9,5/23/20 13:58,9.941433473,3.866113017,3.918700951,10.4296854,16.25842052
61,sr,6/10/15,st9,5/23/20 13:58,NA,NA,2.025073985,2.050686941,2.07679608
62,bymed_GPP,6/10/15,st9,5/23/20 13:58,NA,NA,NA,2.301284788,NA
63,BS_GPP,6/10/15,st9,5/23/20 13:58,NA,NA,1.298036211,2.224197305,3.095328263
64,accept4df,6/11/15,st9,5/23/20 15:32,NA,NA,NA,0.194755,NA
65,pmaxr,6/11/15,st9,5/23/20 15:32,0.013547757,0.003386939,0.006823776,0.01336184,0.019683388
66,alphar,6/11/15,st9,5/23/20 15:32,4.12E-07,1.03E-07,2.02E-07,4.06E-07,6.17E-07
67,err,6/11/15,st9,5/23/20 15:32,-2.891198817,0.722799704,-4.42886676,-2.838969438,-1.469118869
68,Kr,6/11/15,st9,5/23/20 15:32,683,170.75,352.0006183,672.9964915,1007.434991
69,DOgw,6/11/15,st9,5/23/20 15:32,9.811561152,3.815607115,4.058875105,10.23192693,17.1797551
70,sr,6/11/15,st9,5/23/20 15:32,NA,NA,2.014433852,2.039956255,2.066159426
71,bymed_GPP,6/11/15,st9,5/23/20 15:32,NA,NA,NA,2.610937037,NA
72,BS_GPP,6/11/15,st9,5/23/20 15:32,NA,NA,1.497433655,2.508175762,3.495425567
73,accept4df,6/12/15,st9,5/23/20 17:05,NA,NA,NA,0.193005,NA
74,pmaxr,6/12/15,st9,5/23/20 17:05,0.012351402,0.003087851,0.00653522,0.012175114,0.017938146
75,alphar,6/12/15,st9,5/23/20 17:05,4.46E-07,1.12E-07,2.45E-07,4.53E-07,6.62E-07
76,err,6/12/15,st9,5/23/20 17:05,-2.569786737,0.642446684,-3.871914272,-2.620587537,-1.326711718
77,Kr,6/12/15,st9,5/23/20 17:05,610.6178391,152.6544598,330.0099477,613.4958879,935.9295958
78,DOgw,6/12/15,st9,5/23/20 17:05,9.935227437,3.863699559,3.225255961,9.66893045,15.74729206
79,sr,6/12/15,st9,5/23/20 17:05,NA,NA,2.026129596,2.051392444,2.077594771
80,bymed_GPP,6/12/15,st9,5/23/20 17:05,NA,NA,NA,2.047858882,NA
81,BS_GPP,6/12/15,st9,5/23/20 17:05,NA,NA,1.250403619,1.99347504,2.70541
82,accept4df,6/13/15,st9,5/23/20 18:39,NA,NA,NA,0.19396,NA
83,pmaxr,6/13/15,st9,5/23/20 18:39,0.009799993,0.002449998,0.005090711,0.009738679,0.01459582
84,alphar,6/13/15,st9,5/23/20 18:39,1.39E-07,3.48E-08,7.23E-08,1.35E-07,2.04E-07
85,err,6/13/15,st9,5/23/20 18:39,-1.770246203,0.442561551,-2.6919234,-1.823296503,-0.980933141
86,Kr,6/13/15,st9,5/23/20 18:39,501.6856993,125.4214248,265.6848556,515.5770751,782.2498535
