"","parameter","metab_date","metab_stream","analysis_date","PriorMean","PriorSD","L95per","median","U95per"
"1","accept4df",2015-06-10,"st18",2020-05-24 19:49:51,NA,NA,NA,0.193505,NA
"2","pmaxr",2015-06-10,"st18",2020-05-24 19:49:51,0.00911059073461846,0.00227764768365462,0.00481815954114282,0.00902133988667741,0.0138634343349341
"3","alphar",2015-06-10,"st18",2020-05-24 19:49:51,3.72103269593849e-07,9.30258173984623e-08,1.74931566973202e-07,3.66879432347582e-07,5.31183029825387e-07
"4","err",2015-06-10,"st18",2020-05-24 19:49:51,-3.04066596904481,0.760166492261203,-4.55156478431676,-3.03651093065991,-1.54633679248437
"5","Kr",2015-06-10,"st18",2020-05-24 19:49:51,200,50,103.257888537504,196.76286553052,296.884282467064
"6","DOgw",2015-06-10,"st18",2020-05-24 19:49:51,10.7689908918113,4.18794090237107,2.7685117479829,10.0614007326746,17.5201240262685
"7","sr",2015-06-10,"st18",2020-05-24 19:49:51,NA,NA,2.09229202170137,2.11793607945628,2.1439291361036
"8","bymed_GPP",2015-06-10,"st18",2020-05-24 19:49:51,NA,NA,NA,2.77051990871332,NA
"9","BS_GPP",2015-06-10,"st18",2020-05-24 19:49:51,NA,NA,1.5838206348052,2.69690563905955,3.66348344860191
"10","accept4df",2015-06-11,"st18",2020-05-24 21:25:24,NA,NA,NA,0.192835,NA
"11","pmaxr",2015-06-11,"st18",2020-05-24 21:25:24,0.00570172005072878,0.0014254300126822,0.00299973272047192,0.00563079488235948,0.00850664247784378
"12","alphar",2015-06-11,"st18",2020-05-24 21:25:24,4.00367442529399e-07,1.0009186063235e-07,2.06736021797582e-07,4.02923829739658e-07,5.89831032204104e-07
"13","err",2015-06-11,"st18",2020-05-24 21:25:24,-2.86598155101303,0.716495387753257,-4.18173678679744,-2.83303717876792,-1.41500991024313
"14","Kr",2015-06-11,"st18",2020-05-24 21:25:24,200,50,106.73277414608,198.515163038881,296.97402412614
"15","DOgw",2015-06-11,"st18",2020-05-24 21:25:24,10.6690776237168,4.14908574255655,1.76228563918876,10.838747320375,19.8749458313544
"16","sr",2015-06-11,"st18",2020-05-24 21:25:24,NA,NA,2.0837047684102,2.10916870219096,2.1353656940835
"17","bymed_GPP",2015-06-11,"st18",2020-05-24 21:25:24,NA,NA,NA,2.12973448770964,NA
"18","BS_GPP",2015-06-11,"st18",2020-05-24 21:25:24,NA,NA,1.22329453349573,2.11036566853344,3.01521709412863
"19","accept4df",2015-06-12,"st18",2020-05-24 23:00:47,NA,NA,NA,0.19181,NA
"20","pmaxr",2015-06-12,"st18",2020-05-24 23:00:47,0.00412180008968024,0.00103045002242006,0.00211684580925475,0.00417628150385001,0.00620308724267101
"21","alphar",2015-06-12,"st18",2020-05-24 23:00:47,1.80870561202687e-07,4.52176403006717e-08,9.06193684284458e-08,1.83911699317434e-07,2.75043396614477e-07
"22","err",2015-06-12,"st18",2020-05-24 23:00:47,-2.23617721296575,0.559044303241437,-3.29543457832281,-2.26430501498066,-1.13283016456203
"23","Kr",2015-06-12,"st18",2020-05-24 23:00:47,200,50,105.557898213123,202.371501944383,301.728740795734
"24","DOgw",2015-06-12,"st18",2020-05-24 23:00:47,10.8555483482932,4.22160213544736,2.64829837297024,10.4880058038318,18.061961562492
"25","sr",2015-06-12,"st18",2020-05-24 23:00:47,NA,NA,2.10037384266844,2.12563956634126,2.15164792236
"26","bymed_GPP",2015-06-12,"st18",2020-05-24 23:00:47,NA,NA,NA,1.31587716330735,NA
"27","BS_GPP",2015-06-12,"st18",2020-05-24 23:00:47,NA,NA,0.735079133989711,1.26717876860296,1.73822568796157
"28","accept4df",2015-06-13,"st18",2020-05-25 00:35:50,NA,NA,NA,0.19216,NA
"29","pmaxr",2015-06-13,"st18",2020-05-25 00:35:50,0.00673429015020891,0.00168357253755223,0.00316683472436301,0.00676138989529721,0.00985260040970949
