(Intercept),invKT.C.StMean,s(LightPerDay.lcg),stream,df,logLik,AICc,delta,weight
-0.5284867247286382,-1.6290676842885148,+,NA,7,7.76404036205173,-0.7105624759282794,0,0.708818704782802
-0.4395398022045625,NA,+,+,9,8.91667259369521,1.4999881459429112,2.2105506218711906,0.234703843130454
-0.0761754472147897,NA,+,NA,6,3.4367235755710226,5.735248501031869,6.445810976960148,0.0282387260433719
-0.0761754472147897,NA,+,NA,6,3.4367235755710226,5.735248501031869,6.445810976960148,0.0282387260433719
