(Intercept),invKT.C.StMean,s(LightPerDay.lcg),stream,df,logLik,AICc,delta,weight
0.9675965184880151,NA,+,NA,6,-34.00838885135295,80.6254733548798,0,0.331740387105508
0.9675965184880151,NA,+,NA,6,-34.00838885135295,80.6254733548798,0,0.331740387105508
0.6162586108854728,-1.3354837627163925,+,NA,7,-33.0444780048428,80.90647425786078,0.2810009029809777,0.288256942824639
0.769618701691051,NA,+,+,9,-32.57377234264777,84.48087801862887,3.85540466374907,0.0482622829643443
