(Intercept),invKT.C.StMean,s(LightPerDay.lcg),treatment,invKT.C.StMean:treatment,stream,stream:treatment,df,logLik,AICc,delta,weight
-0.4369657825668565,NA,+,+,NA,+,+,13,25.68447098775971,-24.05958945753381,0,0.715684879614749
-0.2037376829310044,NA,+,+,NA,+,NA,10,21.161273636728026,-21.53962912398986,2.519960333543949,0.203010924129749
-0.5217845554811986,-1.621958794715254,+,+,NA,NA,NA,8,17.682048429903205,-18.855262937544925,5.204326519988886,0.0530416098913748
-0.5215128036536257,-1.6209605921485746,+,+,+,NA,NA,9,17.682050540096782,-16.72580320785314,7.333786249680671,0.018289860458254
-0.07960467477454747,NA,+,+,NA,NA,NA,7,14.004370389772362,-13.614374582361625,10.445214875172185,0.00385986620217425
-0.07960467477454747,NA,+,+,NA,NA,NA,7,14.004370389772362,-13.614374582361625,10.445214875172185,0.00385986620217425
0.13718860626356913,-1.6337310967905774,+,NA,NA,NA,NA,7,12.529839898387252,-10.665313599591405,13.394275857942405,0.000883469975702802
0.5838587424602678,NA,+,NA,NA,NA,NA,6,10.966300306902383,-9.637863771699502,14.421725685834309,0.000528547349678941
0.5838587424602678,NA,+,NA,NA,NA,NA,6,10.966300306902383,-9.637863771699502,14.421725685834309,0.000528547349678941
0.44315826605541486,NA,+,NA,NA,+,NA,9,13.612325116061243,-8.586352359782062,15.473237097751749,0.000312428826463406
